,jyoCd,Year,Kaiji,Nichiji,RaceNum,Umaban,Bamei
0,06,19,2,4,01,13,セイウンメラビリア
0,06,19,2,4,02,01,ミツカネラクリス
0,06,19,2,4,04,11,バンブトンハート
0,06,19,2,4,05,03,ミカエラ
0,06,19,2,4,11,10,メイショウテンゲン
0,06,19,2,4,12,07,ディーズエフォート
0,09,19,1,4,02,04,ビービーオネスト
0,09,19,1,4,02,05,バロンキング
0,09,19,1,4,03,01,ラー
0,09,19,1,4,03,14,コウエイスパークル
0,09,19,1,4,05,16,アンブレイカブル
0,09,19,1,4,07,06,イラプション
0,09,19,1,4,08,05,トーセンカンビーナ
0,09,19,1,4,09,11,ピラミッドファラオ
0,10,19,1,8,03,02,サニーサインズ
0,10,19,1,8,03,05,オーロセレステ
0,10,19,1,8,05,03,オーキッドテソーロ
0,10,19,1,8,05,10,アルデエンブレム
0,10,19,1,8,06,03,デアリングアイデア
0,10,19,1,8,10,09,グットラン
